"filename", "language", "C#", "comment", "blank", "total"
"e:\Unity Projects\Project\My project\Assets\Scripts\Cooldown.cs", "C#", 16, 0, 8, 24
"e:\Unity Projects\Project\My project\Assets\Scripts\DestroyAfter.cs", "C#", 19, 3, 6, 28
"e:\Unity Projects\Project\My project\Assets\Scripts\GameController\GameManager.cs", "C#", 123, 14, 50, 187
"e:\Unity Projects\Project\My project\Assets\Scripts\Object\Flag.cs", "C#", 24, 0, 5, 29
"e:\Unity Projects\Project\My project\Assets\Scripts\Object\IProjectile.cs", "C#", 7, 0, 2, 9
"e:\Unity Projects\Project\My project\Assets\Scripts\Object\KeepOriginRotation.cs", "C#", 17, 1, 5, 23
"e:\Unity Projects\Project\My project\Assets\Scripts\Object\PhysicsProjectile.cs", "C#", 89, 13, 32, 134
"e:\Unity Projects\Project\My project\Assets\Scripts\Observer\EvenID.cs", "C#", 6, 0, 4, 10
"e:\Unity Projects\Project\My project\Assets\Scripts\Observer\Observer.cs", "C#", 35, 0, 8, 43
"e:\Unity Projects\Project\My project\Assets\Scripts\Player\FlagCapturer.cs", "C#", 39, 0, 9, 48
"e:\Unity Projects\Project\My project\Assets\Scripts\Player\Player.cs", "C#", 338, 63, 117, 518
"e:\Unity Projects\Project\My project\Assets\Scripts\Player\PlayerDetecter.cs", "C#", 29, 5, 5, 39
"e:\Unity Projects\Project\My project\Assets\Scripts\Player\PlayerInput.cs", "C#", 54, 10, 19, 83
"e:\Unity Projects\Project\My project\Assets\Scripts\Player\WeaponBase.cs", "C#", 46, 7, 19, 72
"e:\Unity Projects\Project\My project\Assets\Scripts\Player\Weapon_NetworkObject.cs", "C#", 44, 22, 17, 83
"e:\Unity Projects\Project\My project\Assets\Scripts\RenderFeatureToggler.cs", "C#", 15, 0, 4, 19
"e:\Unity Projects\Project\My project\Assets\Scripts\RotateObject.cs", "C#", 39, 0, 7, 46
"e:\Unity Projects\Project\My project\Assets\Scripts\UIController\HpBarDisplay.cs", "C#", 34, 0, 12, 46
"e:\Unity Projects\Project\My project\Assets\Scripts\UIController\PlayerHub.cs", "C#", 72, 1, 17, 90
"e:\Unity Projects\Project\My project\Assets\Scripts\UIController\UIGameMenu.cs", "C#", 125, 13, 35, 173
"e:\Unity Projects\Project\My project\Assets\Scripts\UIController\UIInfoplate.cs", "C#", 42, 3, 13, 58
"Total", "-", 1213, 155, 394, 1762
